field	description	notes	collected1970to1984	collected1984to2004	collected2004to2009	collected2010toPresent
FLOW_CONT_SQUEEZE_OFF_IND	Method of Flow Control: Squeeze-Off		0	0	0	1
FLOW_CONT_STOPPLE_FITNG_IND	Method of Flow Control: Stopple fitting		0	0	0	1
FLOW_CONT_OTHER_IND	Method of Flow Control: Other. See FLOW_CONT_OTHER_DETAIL for a description of the flow control method.		0	0	0	1
FLOW_CONT_OTHER_DETAIL	Mandatory text description for FLOW_CONT_OTHER_IND		0	0	0	1
TELDT	Date the Telephone Report was made		0	1	1	1
NRC_RPT_DATETIME	Local time (24-hr clock) and date of initial operator report to the National Response Center		0	0	0	1
NRC_RPT_NUM	Initial Operator National Response Center Report Number	Also contains values indicating why an NRC notification was not made, if applicable	0	1	1	1
TELID	Not on the form		0	1	0	0
ADDITIONAL_NRC_REPORT_NUMBERS	Additional NRC Report numbers submitted by the operator	Inconsistent formatting	0	0	0	1
COMMODITY_RELEASED_TYPE	Gas released (select only one, based on predominant volume released)	See also COMMODITY_DETAILS	0	0	0	1
COMMODITY_DETAILS	Text description for when COMMODITY_RELEASED_TYPE is Other Gas		0	0	0	1
UNINTENTIONAL_RELEASE	Estimated volume of gas released unintentionally, in thousand standard cubic feet (mcf)		0	0	0	1
INTENTIONAL_RELEASE	Estimated volume of intentional and controlled release/blowdown, in thousand standard cubic feet (mcf)		0	0	0	1
FATALITY_IND	Were there fatalities?		0	0	0	1
NUM_EMP_FATALITIES	Number of operator employee fatalities		1	0	1	1
NUM_CONTR_FATALITIES	Number of fatalities of contractor employees working for the Operator		0	0	1	1
NUM_ER_FATALITIES	Number of fatalities of non-Operator emergency responders		0	0	0	1
NUM_WORKER_FATALITIES	Number of fatalities of workers working on the right-of-way, but NOT associated with this Operator		0	0	0	1
NUM_GP_FATALITIES	Number of general public fatalities		1	0	1	1
FATAL	Total number of fatalities		1	1	1	1
INJURY_IND	Were there injuries requiring inpatient hospitalization?		0	0	0	1
NUM_EMP_INJURIES	Number of operator employee injuries		1	0	1	1
NUM_CONTR_INJURIES	Number of injuries of contractor employees working for the Operator		0	0	1	1
NUM_ER_INJURIES	Number of injuries of non-Operator emergency responders		0	0	0	1
NUM_WORKER_INJURIES	Number of injuries of workers working on the right-of-way, but NOT associated with this Operator		0	0	0	1
NUM_GP_INJURIES	Number of general public injuries		1	0	1	1
INJURE	Total number of injuries		1	1	1	1
IGNITE_IND	Did the gas ignite?		1	0	1	1
IGNITE_DATETIME	Local time of ignition		0	0	0	1
HOW_EXTINGUISHED	How was the fire extinguished?	See also HOW_EXTINGUISHED_OTHER_DETAIL	0	0	0	1
HOW_EXTINGUISHED_OTHER_DETAIL	Text description for when HOW_EXTINGUISHED is Other		0	0	0	1
GAS_CONSUMED_BY_FIRE_IN_MCF	Estimated volume of gas consumed by fire (MCF)		0	0	0	1
EXPLODE_IND	Did the gas explode?		1	0	1	1
SECONDARY_EXPLOSIONS_FIRE	Did incident induce any secondary fires or explosions?		1	0	0	0
NUM_PUB_EVACUATED	Number of general public evacuated		0	0	1	1
EVAC	Evacuation (general public only)		0	0	1	0
EVAC_REASON_TEXT	Evacuation Reason		0	0	1	0
STHH	Elapsed time until area was made safe (hours)		1	1	1	0
STMN	Elapsed time until area was made safe (minutes)		1	1	1	0
INCIDENT_IDENTIFIED_DATETIME	Local time operator identified failure		0	0	0	1
COMMUNICATION_STATE_FED_IND	Did the operator communicate with Local, State, or Federal Emergency Responders about the incident?		0	0	0	1
PARTY_INITIATED_COMMUNICATION	Which party initiated communication about the incident?		0	0	0	1
INITIAL_RESPONDER_COM_DATETIME	Local time of initial Operator and Local/State/Federal Emergency Responder communication		0	0	0	1
ON_SITE_DATETIME	Local time operator resources arrived on site		0	0	0	1
CONFIRMED_DISCOVERY_DATETIME	Local time of confirmed discovery		0	0	0	1
FEDERAL	Was the Incident on Federal land?		0	1	1	1
LOCATION_TYPE	Location of Incident (private property, public property, etc.)		0	0	0	1
INCIDENT_AREA_TYPE	Area of Incident	Different options depending on data source. See also INCIDENT_AREA_DETAILS	1	1	1	1
INCIDENT_AREA_SUBTYPE	Area of Incident: Subtype	Different options depending on primary type. See also INCIDENT_AREA_DETAILS	0	0	0	1
INCIDENT_AREA_DETAILS	Text description for when INCIDENT_AREA_TYPE or INCIDENT_AREA_SUBTYPE is Other		1	1	1	1
DEPTH_OF_COVER	Depth of Cover (in)		1	0	1	1
SOIL_INFORMATION	Soil information at pipe depth( soil or rock)		1	0	0	0
SOIL_TEMPERATURE	Estimated Soil temperature at point of soil leak (Ferrante)		1	0	0	0
PH_SOIL	PH level		1	0	0	0
SOIL_RESISTIVITY	Last soil resistivity measurement in the area of leak(ohm-cm)		1	0	0	0
SOIL_TEST_YEAR	The year soil test is conducted		1	0	0	0
DISTANCE_FROM_LEAK	Distance test was from leak		1	0	0	0
PIPE_SOIL_POTENTIAL_1	Pipe-to-soil potential measure on one side of leak		1	0	0	0
PIPE_SOIL_POTENTIAL_2	Pipe-to-soil potential measure on the other side of leak		1	0	0	0
DISTANCE_LEAK_MEASURE_1	Distance of measure on one side of leak		1	0	0	0
DISTANCE_LEAK_MEASURE_2	Distance of measure on the other side of leak		1	0	0	0
POTENTIAL_YEAR	Year potential was last measured		1	0	0	0
OTHER_UNDERGROUND_FACILITIES	Were other underground facilities found within 12 inches of the failure location?		0	0	0	1
CROSSING	Did Incident occur in a crossing?		0	0	0	1
BRIDGE_CROSSING_IND	Did Incident occur in a Bridge crossing?		0	0	0	1
BRIDGE_TYPE	Type of Bridge in the bridge crossing		0	0	0	1
RAILROAD_CROSSING_IND	Did Incident occur in a Railroad crossing?		0	0	0	1
RAILROAD_TYPE	Type of Railroad crossing		0	0	0	1
ROAD_CROSSING_IND	Did Incident occur in a Road crossing?		0	0	0	1
ROAD_TYPE	Type of Road crossing		0	0	0	1
WATER_CROSSING_IND	Did Incident occur in a Water crossing?		0	0	0	1
WATER_TYPE	Type of Water crossing	See also WATER_SUBTYPE	0	0	0	1
WATER_NAME	Name of body of water (If commonly known)		0	0	0	1
WATER_DEPTH	Approx. water depth at time and location of Incident (ft), or Unknown		0	0	0	1
WATER_SUBTYPE	Detailed type of water crossing		0	0	0	1
ADJACENT_STRUCTURE	Predominant above-ground structure adjacent to leak	See also ADJACENT_STRUCTURE_OTHER	1	0	0	0
ADJACENT_STRUCTURE_OTHER	Text description for when ADJACENT_STRUCTURE is Other		1	0	0	0
DISTANCE_STRUCTURE	Distance to nearest structure		1	0	0	0
CONTRIBUTING_FACILITIES	Did an underground facility contribute to the incident?		1	0	0	0
EFFECT_OTHER_FACILITIES	What was the underground facility's effect?		1	0	0	0
UTILITIES_IMPERILED	Any utilities imperiled?		1	0	0	0
DISTANCE_OTHER_GAS_CONTRI	Distance of other gas facility contributing		1	0	0	0
DISTANCE_OTHER_GAS_IMPRD	Distance of other gas facility impaired		1	0	0	0
DISTANCE_TELEPHONE_CONTRI	Distance of telephone facility contributing		1	0	0	0
DISTANCE_TELEPHONE_IMPAIRED	Distance of telephone facility impaired		1	0	0	0
DISTANCE_ELECTRIC_CONTR	Distance of electric facility contributing		1	0	0	0
DISTANCE_ELECTRIC_IMPAIRDD	Distance of electric facility impaired		1	0	0	0
DISTANCE_SEWER_STORM_CONT	Distance of storm sewer facility contributing		1	0	0	0
DISTANCE_SEWER_STORM_IMPA	Distance of storm sewer facility impaired		1	0	0	0
DISTANCE_SEWER_OTHER_CONT	Distance of other sewer facility contributing		1	0	0	0
DISTANCE_SEWER_OTHER_IMPA	Distance of other sewer facility impaired		1	0	0	0
DISTANCE_WATER_CONTR	Distance of water facility contributing		1	0	0	0
DISTANCE_WATER_IMPAIRED	Distance of water facility impaired		1	0	0	0
DISTANCE_OTHER_CONTR	Distance of other facility contributing		1	0	0	0
OTHER_CONTR	Other facility contributing		1	0	0	0
DISTANCE_OTHER_IMPAIRED	Distance of other facility impaired		1	0	0	0
OTHER_IMPAIRED	Other facility impaired		1	0	0	0
AREA_TIME_INCIDENT_D	Type of area at time of incident	See also AREA_TIME_INCIDENT_D_OTHER	1	0	0	0
AREA_TIME_INCIDENT_D_OTHER	Text description for when AREA_TIME_INCIDENT_D is Other		1	0	0	0
PIPE_FACILITY_TYPE	Type of pipeline system	See also PIPE_TYPE_OTHER	0	0	0	1
PIPE_TYPE_OTHER	Text description for when PIPE_FACILITY_TYPE is Other		0	0	0	1
SYSTEM_PART_INVOLVED	Part of system involved in Incident	Different options depending on data source. See also SYSTEM_PART_DETAILS	1	1	1	1
SYSTEM_PART_DETAILS	Text description for when SYSTEM_PART_INVOLVED is Other		1	1	1	1
INSTALLATION_YEAR	Year item involved in the incident was installed		1	1	1	1
MANUFACTURED_YEAR	Year item involved in the incident was manufactured		0	1	1	1
CUSTOMER_TYPE	Customer type		0	0	0	1
WAS_EFV_INSTALLED_BEFORE_IND	Was an EFV installed on the service line before the time of the incident?		0	0	0	1
EVF_ACTIVATION_IND	Did the EFV activate?		0	0	0	1
CURB_VALVE_INST_BEFORE_INC_IND	Was a curb valve installed on the service line before the time of the incident?		0	0	0	1
PIPE_DIAMETER	Nominal Pipe Size (in)		1	1	1	1
PIPE_SPECIFICATION	Pipe specification (e.g., API 5L, ASTM D2513)	Inconsistent formatting	1	1	1	1
SMYS	Pipe Specification SMYS		0	0	1	0
SEAM	Pipe seam type		0	0	1	0
VALVE	Pipe valve type		0	0	1	0
GRADE	Pipe grade		1	0	0	0
TYPE_REPAIR_PIPE	Type of repair done	See also TYPE_REPAIR_PIPE_OTHER	1	0	0	0
TYPE_REPAIR_PIPE_OTHER	Text description for when TYPE_REPAIR_PIPE is Other		1	0	0	0
LENGTH_REPLACED_PIPE	Replaced pipe length		1	0	0	0
REPAIR_COMPONENT	Component was replaced or reconditioned	See REPAIR_COMPONENT_OTHER	1	0	0	0
REPAIR_COMPONENT_OTHER	Text description for when REPAIR_COMPONENT is Other		1	0	0	0
PIPE_MANUFACTURER	Pipe manufacturer		0	1	1	1
MATERIAL_INVOLVED	Material involved in Incident	Different options depending on data source. See also MATERIAL_DETAILS	1	1	1	1
PLAS_DUCT	Was ductile plastic involved in the Incident?		0	0	1	0
PLAST_JNT	Was JNT plastic involved in the Incident?		0	0	1	0
PLAS_BRIT	Was brittle plastic involved in the Incident?		0	0	1	0
MATERIAL_DETAILS	Text description for when MATERIAL_INVOLVED is Other		1	1	1	1
COMPONENT_TEXT	Material/weld failure: Component	See also COMPONENTO	0	0	1	0
COMPONENTO	Text description for when COMPONENT_TEXT is Other		0	0	1	0
JOINT_TEXT	Material/weld failure: Joint	See also JOINTO	0	0	1	0
JOINTO	Text description for when JOINT_TEXT is Other		0	0	1	0
ADJOIN_MATERIAL_SAME	Was the material adjoining the failed part the same as the part?		1	0	0	0
ADJOIN_MATERIAL_WHAT	If not same as the part, what was the material?		1	0	0	0
METALLURGICAL_ANALYSIS_PLANNED	Metallurgical analysis planned?		1	0	0	0
CAST_IRON	Type of Iron pipe class		1	0	0	0
OTHER_MATERIAL	Description if pipe class is other than steel, plastic or iron 		1	0	0	0
STEEL_SEAM_TYPE	If Steel, Specify seam type	See also STEEL_SEAM_TYPE_DETAILS	0	0	0	1
STEEL_SEAM_TYPE_DETAILS	Text description for when STEEL_SEAM_TYPE is Other		0	0	0	1
WT_STEEL	If Steel, Specify wall thickness (inches), or Unknown		0	0	0	1
STEEL_CLASS	Type of steel pipe class		1	0	0	0
PLASTIC_TYPE	If Plastic,  Specify type	Different options depending on data source. See also PLASTIC_DETAILS	1	0	0	1
PLASTIC_DETAILS	Text description for when PLASTIC_TYPE is Other		0	0	0	1
PLASTIC_SDR	If Plastic, Specify Standard Dimension Ratio (SDR)		0	0	0	1
WT_PLASTIC	If Plastic, Specify wall thickness		0	0	0	1
WALLTHK	Pipe wall thickness in inches (may also be Unknown)	Equivalent to WT_STEEL and WT_PLASTIC combined	1	1	1	1
WT_PLASTIC_UNKNOWN_IND	Is Plastic wall thickness unknown?		0	0	0	1
MATERIAL_PE_PIPE_CODE	If Polyethylene (PE) is selected as the type of plastic, Specify PE Pipe Material Designation Code (i.e., 2406, 3408, etc.), or Unknown		0	0	0	1
PLASTIC_REINFORCED	Was plastic reinforced?		1	0	0	0
RELEASE_TYPE	Type of release involved	Different options depending on data source. See also RELEASE_TYPE_DETAILS	0	0	1	1
PUNCTURE_AXIAL	Mechanical Puncture Approx. size (axial) in inches		0	0	0	1
PUNCTURE_CIRCUM	Mechanical Puncture Approx. size (circumferential) in inches		0	0	0	1
PUNC_DIAM	Puncture, diameter or cross section (inches)	From 2010 onwards, calculated as the average of PUNCTURE_AXIAL and PUNCTURE_CIRCUM	0	0	1	1
LEAK_TYPE	Leak type	Different options depending on data source. See also LEAK_TYPE_OTHER	0	0	1	1
LEAK_TYPE_OTHER	Text description for when LEAK_TYPE is Other		0	0	0	1
RUPTURE_ORIENT	Rupture orientation	See also RUPTURE_DETAILS	0	0	1	1
RUPTURE_DETAILS	Text description for when RUPTURE_ORIENT is Other		0	0	0	1
RUPTURE_LENGTH	Rupture length (widest opening) in inches		0	0	1	1
PROPLN	Propagation Length, total, both sides (feet)		0	0	1	0
RUPTURE_WIDTH	Rupture width in inches		0	0	0	1
RUPTURE_OCCURED	Did a rupture occur?		1	0	0	0
RELEASE_TYPE_DETAILS	Text description for when RELEASE_TYPE is Other		0	0	0	1
ORIGIN_LEAK	Where leak originated	See also ORIGIN_LEAK_OTHER	1	0	0	0
ORIGIN_LEAK_OTHER	Text description for when ORIGIN_LEAK is Other		1	0	0	0
CLASS_LOCATION_TYPE	Class Location of Incident		0	1	1	1
EST_COST_OPER_PAID	Estimated cost of public and non-Operator private property damage		0	0	1	1
EST_COST_PROP_DAMAGE	Estimated cost of Operator’s property damage & repairs		1	0	1	1
EST_COST_EMERGENCY	Estimated cost of emergency response		0	0	0	1
EST_COST_OTHER	Estimated other costs	See also EST_COST_OTHER_DETAILS	0	0	0	1
EST_COST_OTHER_DETAILS	Text description of the Other Costs in EST_COST_OTHER		0	0	0	1
GAS_COST_IN_MCF	Cost of Gas in $ per thousand standard cubic feet (mcf)		0	0	0	1
EST_COST_UNINTENTIONAL_RELEASE	Estimated cost of gas released unintentionally		0	0	0	1
GASPRP	Estimated total cost of gas lost		0	0	1	1
EST_COST_INTENTIONAL_RELEASE	Estimated cost of gas released intentionally during controlled release/blowdown		0	0	0	1
PRPTY	Total estimated property damage	Description inferred for 2010-Present based on previous datasets	0	1	1	1
OPJUD	Operator judgment/emergency action		0	1	0	0
COMMERCIAL_AFFECTED	Estimated number of customers out of service: Commercial entities		0	0	0	1
INDUSTRIAL_AFFECTED	Estimated number of customers out of service: Industrial entities		0	0	0	1
RESIDENCES_AFFECTED	Estimated number of customers out of service: Residences		0	0	0	1
NUM_PERSONS_HOSP_NOT_OVNGHT	Estimated number of persons with injuries requiring treatment in a medical facility but not requiring overnight in-patient hospitalization	Variables 45-51 (INJURY_IND to INJURE) report the number of persons injured, admitted to a hospital, and remaining in the hospital for at least one overnight. If a person is included in those variables, they are not included in this variable.	0	0	0	1
NUM_INJURED_TREATED_BY_EMT	Estimated number of persons with injuries requiring treatment by EMTs at the site of incident	If a person is included in NUM_PERSONS_HOSP_NOT_OVNGHT, they are not included in this variable.	0	0	0	1
NUM_RESIDENT_BUILDING_AFFCTD	Number of residential buildings affected (evacuated or required repair or had gas service interrupted)		0	0	0	1
NUM_BUSINESS_BUILDING_AFFCTD	Number of business buildings affected (evacuated or required repair or had gas service interrupted)		0	0	0	1
ACCIDENT_PSIG	Estimated pressure at the point and time of the Incident (psig):		1	1	1	1
NORMAL_PSIG	Normal operating pressure at the point and time of the Incident (psig)		0	0	0	1
MAOPTST	MAOP established by: Test Pressure (psig)		1	1	1	0
MOP_PSIG	Maximum Allowable Operating Pressure (MAOP) at the point and time of the Incident (psig)		1	1	1	1
MOP_CFR_SECTION	MAOP established by 49 CFR section	Different options depending on data source	0	1	1	1
MAOP_ESTABLISHED_DATE	Date MAOP established		0	0	0	1
ACCIDENT_PRESSURE	Describes the pressure on the system relating to the Incident		0	0	0	1
GAS_ODORIZED_SYSTEM_TYPE	Type of odorization system for gas at the point of failure	See also GAS_ODORIZED_SYS_OTHER_DETAIL	0	0	0	1
GAS_ODORIZED_SYS_OTHER_DETAIL	Text description for when GAS_ODORIZED_SYSTEM_TYPE is Other		0	0	0	1
GAS_ODORIZED_LEVEL	Odorant level near the point of failure measured after the failure		0	0	0	1
GAS_ODORIZED_LVL_NOT_MSRD_IND	Was odorant level near the point of failure NOT measured after the failure?		0	0	0	1
SCADA_IN_PLACE_IND	Was a Supervisory Control and Data Acquisition (SCADA)-based system in place on the pipeline or facility involved in the Incident?		0	0	0	1
SCADA_OPERATING_IND	Given SCADA-based system in place, was it operating at the time of the Incident?		0	0	0	1
SCADA_FUNCTIONAL_IND	Given SCADA-based system in place, was it fully functional at the time of the Incident?		0	0	0	1
SCADA_DETECTION_IND	Given SCADA-based system in place, did SCADA-based information (such as alarm(s), alert(s), event(s), and/or volume or pack calculations) assist with the initial indication of the Incident?		0	0	0	1
SCADA_CONF_IND	Given SCADA-based system in place, did SCADA-based information (such as alarm(s), alert(s), event(s), and/or volume calculations) assist with the confirmed discovery of the Incident?		0	0	0	1
ACCIDENT_IDENTIFIER	What was the Operator’s initial indication of the Failure?	See also ACCIDENT_DETAILS	0	0	0	1
ACCIDENT_DETAILS	Text description for when ACCIDENT_IDENTIFIER is Other		0	0	0	1
METHOD_OF_LEAK_DETECT	How was leak detected?		1	0	0	0
REPORTED_BY	Who reported the leak		1	0	0	0
REPORTED_BY_OTHER	Text description for when REPORTED_BY is Other		1	0	0	0
OPERATOR_TYPE	If ACCIDENT_IDENTIFIER is Controller, Local Operating Personnel, including contractors, Air Patrol, or Ground Patrol by Operator or its contractor, specify: Operator employee or Contractor working for the Operator		0	0	0	1
INVESTIGATION_STATUS	Was an investigation initiated into whether or not the controller(s) or control room issues were the cause of or a contributing factor to the Incident?	See also INVESTIGATION_STATUS_DETAILS, and INVEST_SCHEDULE_IND through INVEST_OTHER_IND_DETAILS	0	0	0	1
INVESTIGATION_STATUS_DETAILS	Explanation for when INVESTIGATION_STATUS is No, the operator did not find that an investigation of the controller(s) actions or control room issues was necessary due to: (provide an explanation for why the operator did not investigate)		0	0	0	1
INVEST_SCHEDULE_IND	Investigation results: Investigation reviewed work schedule rotations, continuous hours of service (while working for the Operator) and other factors associated with fatigue		0	0	0	1
INVEST_NO_SCHEDULE_IND	Investigation results: Investigation did NOT review work schedule rotations, continuous hours of service (while working for the Operator) and other factors associated with fatigue (provide an explanation for why not)	See also INVEST_NO_SCHEDULE_IND_DETAILS	0	0	0	1
INVEST_NO_SCHEDULE_IND_DETAILS	Text description for INVEST_NO_SCHEDULE_IND		0	0	0	1
INVEST_NO_CONTROL_ROOM_IND	Investigation results: Investigation identified no control room issues		0	0	0	1
INVEST_NO_CONTROLLER_IND	Investigation results: Investigation identified no controller issues		0	0	0	1
INVEST_INCORRECT_ACTION_IND	Investigation results: Investigation identified incorrect controller action or controller error		0	0	0	1
INVEST_FATIGUE_IND	Investigation results: Investigation identified that fatigue may have affected the controller(s) involved or impacted the involved controller(s) response		0	0	0	1
INVEST_INCORRECT_PROCEDURE_IND	Investigation results: Investigation identified incorrect procedures		0	0	0	1
INVEST_INCORRECT_CONTROL_IND	Investigation results: Investigation identified incorrect control room equipment operation		0	0	0	1
INVEST_MAINT_IND	Investigation results: Investigation identified maintenance activities that affected control room operations, procedures, and/or controller response		0	0	0	1
INVEST_OTHER_IND	Investigation results: Investigation identified areas other than those above	See also INVEST_OTHER_IND_DETAILS	0	0	0	1
INVEST_OTHER_IND_DETAILS	Text description for INVEST_OTHER_IND		0	0	0	1
EMPLOYEE_DRUG_TEST_IND	As a result of this Incident, were any Operator employees tested under the post-accident drug and alcohol testing requirements of DOT’s Drug & Alcohol Testing regulations?		0	0	0	1
NUM_EMPLOYEES_TESTED	How many Operator employees were tested under the post-accident drug and alcohol testing requirements		0	0	0	1
NUM_EMPLOYEES_FAILED	How many Operator employees failed the drug and alcohol testing requirements		0	0	0	1
CONTRACTOR_DRUG_TEST_IND	As a result of this Incident, were any Operator contractor employees tested under the post-accident drug and alcohol testing requirements of DOT’s Drug & Alcohol Testing regulations?		0	0	0	1
NUM_CONTRACTORS_TESTED	How many any Operator contractor employees were tested under the post-accident drug and alcohol testing requirements		0	0	0	1
NUM_CONTRACTORS_FAILED	How many Operator contractor employees failed the post-accident drug and alcohol testing requirements		0	0	0	1
RECORD_VALID	Record valid?		1	0	0	0
DATE_RECORD_ENTERED	Date record inserted into database		1	0	0	0
DATE_RECORD_CHANGED	Date of most recent change to record		1	0	0	0
CAUSE	Apparent cause of the incident	Different options depending on data source. See also CAUSE_DETAILS	1	1	1	1
CAULK	Primary outside force cause	See also DMGO and CAUSE_LEAK_OTHER	1	1	0	0
DMGO	Text description for when CAULK is Damage by earth movement: Other or DAMAGE_BY_EARTH_MOVEMENT is Other		1	1	0	0
DAMAGE_BY_EARTH_MOVEMENT	Damage by natural earth movement, including washouts etc. and human activity	See also DMGO	1	0	0	0
EARTH_MOVEMENT_CAUSED_BY_OTHER	Earth movement caused by action of others?		1	0	0	0
EARTH_M_CAUSED_BY_OTHERS_DESC	Description of earth movement caused by action of others		1	0	0	0
CAUSE_LEAK_OTHER	Text description for when CAULK (previously named CAUSE_LEAK) is Other from 1970-1984		1	0	0	0
CAUSE_DETAILS	Details for apparent cause of the incident		0	0	1	1
INTERNAL_EXTERNAL	Internal or external corrosion		1	1	1	1
VISUAL_EXAM_RESULTS	For external corrosion: Results of visual examination: Localized Pitting, General Corrosion, or Other	See also VISUAL_EXAM_DETAILS	1	1	1	1
VISUAL_EXAM_DETAILS	For external corrosion: Text description for when VISUAL_EXAM_RESULTS is Other		0	0	0	1
GALVANIC_CORROSION_IND	For external corrosion: Type of corrosion: Galvanic	Prior to 2010, may also refer to internal corrosion	1	1	1	1
ATMOSPHERE_CORROSION_IND	For external corrosion: Type of corrosion: Atmospheric	Prior to 2010, may also refer to internal corrosion	1	1	1	1
STRAY_CURRENT_CORROSION_IND	For external corrosion: Type of corrosion: Stray Current	Prior to 2010, may also refer to internal corrosion	1	0	1	1
MICROBIOLOGICAL_CORROSION_IND	For external corrosion: Type of corrosion: Microbiological	Prior to 2010, may also refer to internal corrosion	1	0	1	1
SELECTIVE_SEAM_CORROSION_IND	For external corrosion: Type of corrosion: Selective Seam		0	0	0	1
OTHER_CORROSION_IND	For external corrosion: Type of corrosion: Other	See also CORROSION_TYPE_DETAILS. Prior to 2010, may also refer to internal corrosion	1	1	1	1
CORROSION_TYPE_DETAILS	Text description for when OTHER_CORROSION_IND is Other		1	1	1	1
STRAY_CURRENT_TYPE	For external corrosion: If type of corrosion is Stray Current, specify Alternating Current or Direct Current	See also STRAY_CURRENT_DETAILS	0	0	0	1
STRAY_CURRENT_DETAILS	For external corrosion: If type of corrosion is Stray Current, describe the stray current source		0	0	0	1
FIELD_EXAM_BASIS_IND	For external corrosion: Selected types(s) of corrosion based on field examination?		0	0	0	1
METALLURGICAL_BASIS_IND	For external corrosion: Selected types(s) of corrosion determined by metallurgical analysis?		0	0	0	1
OTHER_BASIS_IND	For external corrosion: Selected types(s) of corrosion based on Other	See also CORROSION_BASIS_DETAILS	0	0	0	1
CORROSION_BASIS_DETAILS	Text description for OTHER_BASIS_IND		0	0	0	1
UNDERGROUND_LOCATION	Was the failed item buried or submerged?		0	0	0	1
UNDER_CATHODIC_PROTECTION_IND	Was failed item considered to be under cathodic protection at the time of the incident?		1	1	1	1
CATHODIC_PRO_START_YEAR	Year protection started		1	1	1	1
PREV_DAM_YR	If was pipe previously damaged in the area of corrosion, how many years ago?		0	0	1	0
PREV_DAM_MO	If was pipe previously damaged in the area of corrosion, how many months ago?		0	0	1	0
SHIELDING_EVIDENT	Was shielding, tenting, or disbonding of coating evident at the point of the incident?		0	0	0	1
CATHODIC_SURVEY_TYPE	Has one or more Cathodic Protection Survey been conducted at the point of the incident?		0	0	0	1
CP_ANNUAL_SURVEY_IND	CP Annual Survey has been conducted		0	0	0	1
CLOSE_INTERVAL_SURVEY_IND	Close Interval Survey has been conducted		0	0	0	1
OTHER_CP_SURVEY_IND	Other CP Survey has been conducted	See also OTHER_CP_SURVEY_DETAILS	0	0	0	1
CP_ANNUAL_SURVEY_YEAR	Most recent year CP Annual Survey has been conducted		0	0	0	1
CLOSE_INTERVAL_SURVEY_YEAR	Most recent year Close Interval Survey has been conducted		0	0	0	1
OTHER_CP_SURVEY_YEAR	Most recent year Other CP Survey has been conducted		0	0	0	1
OTHER_CP_SURVEY_DETAILS	Text description for OTHER_CP_SURVEY_IND		0	0	0	1
TYPE_CATHODIC_PROTECTION	Type of cathodic protection	See also TYPE_CATHODIC_PROTECTION_OTHER	1	0	0	0
TYPE_CATHODIC_PROTECTION_OTHER	Text description for when TYPE_CATHODIC_PROTECTION is Other		1	0	0	0
EXTERNALLY_COATED	Was the failed item externally coated or painted?		1	1	1	1
PRIOR_DAMAGE	Was there observable damage to the coating or paint in the vicinity of the corrosion?		0	0	1	1
COATING_TYPE	Pipeline coating type, if steel pipe is involved	Different options depending on data source. See also COATING_TYPE_DETAILS. Prior to 2010, does not necessarily refer to steel pipe	1	0	0	1
COATING_TYPE_DETAILS	Text description for when COATING_TYPE is Other		1	0	0	1
FIELD_APPLIED_IND	Field Applied?		0	0	0	1
YEAR_COATED	Year coating applied		1	0	0	0
METHOD_APPLICATION	Method of coating application		1	0	0	0
